Plant_species,Mycorrhizal_strategy,Dourght_adaptation
Gossypium_hirsutum,AM,tolerant
Gutierrezia_sarothrae,AM,tolerant
Hedysarum_boreale,AM,tolerant
Helianthella_uniflora,AM,tolerant
Helianthus_tuberosus,AM,tolerant
Heteropogon_contortus,AM,tolerant
Hieracium_albiflorum,AM,tolerant
Hypericum_fasciculatum,AM,tolerant
Ilex_vomitoria,AM,tolerant
Juniperus_communis,AM,tolerant
Juniperus_monosperma,AM,tolerant
Juniperus_occidentalis,AM,tolerant
Juniperus_osteosperma,AM,tolerant
Juniperus_scopulorum,AM,tolerant
Juniperus_virginiana,AM,tolerant
Koeleria_macrantha,AM,tolerant
Kummerowia_stipulacea,AM,tolerant
Kummerowia_striata,AM,tolerant
Lablab_purpureus,AM,tolerant
Lathyrus_latifolius,AM,tolerant
Lathyrus_sylvestris,AM,tolerant
Lespedeza_capitata,AM,tolerant
Leucaena_leucocephala,AM,tolerant
Leucaena_retusa,AM,tolerant
Leymus_angustus,AM,tolerant
Leymus_racemosus,AM,tolerant
Leymus_salinus,AM,tolerant
Leymus_triticoides,AM,tolerant
Liatris_punctata,AM,tolerant
Lomatium_canbyi,AM,tolerant
Lomatium_cous,AM,tolerant
Lomatium_dissectum,AM,tolerant
Lycium_pallidum,AM,tolerant
Berberis_aquifolium,AM,tolerant
Berberis_nervosa,AM,tolerant
Berberis_repens,AM,tolerant
Malus_ioensis,AM,tolerant
Malus_mandshurica,AM,tolerant
Mammea_americana,AM,tolerant
Medicago_sativa,AM,tolerant
Melia_azedarach,AM,tolerant
Melilotus_officinalis,AM,tolerant
Menodora_scabra,AM,tolerant
Morella_pensylvanica,AM,tolerant
Muhlenbergia_montana,AM,tolerant
Muhlenbergia_porteri,AM,tolerant
Nassella_viridula,AM,tolerant
Neonotonia_wightii,AM,tolerant
Nerium_oleander,AM,tolerant
Olneya_tesota,AM,tolerant
Opuntia_ficus-indica,AM,tolerant
Opuntia_polyacantha,AM,tolerant
Osmorhiza_occidentalis,AM,tolerant
Panicum_amarum,AM,tolerant
Panicum_coloratum,AM,tolerant
Parthenocissus_quinquefolia,AM,tolerant
Cenchrus_ciliaris,AM,tolerant
Penstemon_acuminatus,AM,tolerant
Penstemon_angustifolius,AM,tolerant
Penstemon_digitalis,AM,tolerant
Penstemon_lyallii,AM,tolerant
Penstemon_newberryi,AM,tolerant
Penstemon_palmeri,AM,tolerant
Penstemon_speciosus,AM,tolerant
Penstemon_wilcoxii,AM,tolerant
Philadelphus_microphyllus,AM,tolerant
Phlox_longifolia,AM,tolerant
Physocarpus_malvaceus,AM,tolerant
Physocarpus_opulifolius,AM,tolerant
Picrothamnus_desertorum,AM,tolerant
Pittosporum_tobira,AM,tolerant
Pittosporum_viridiflorum,AM,tolerant
Pityopsis_graminifolia,AM,tolerant
Plantago_patagonica,AM,tolerant
Platanus_wrightii,AM,tolerant
Hilaria_jamesii,AM,tolerant
Prunus_fasciculata,AM,tolerant
Prunus_maritima,AM,tolerant
Prunus_tenella,AM,tolerant
Rhamnus_crocea,AM,tolerant
Rhus_microphylla,AM,tolerant
Rhus_ovata,AM,tolerant
Ribes_americanum,AM,tolerant
Ribes_cereum,AM,tolerant
Ribes_erythrocarpum,AM,tolerant
Ribes_montigenum,AM,tolerant
Ribes_roezlii,AM,tolerant
Ribes_viburnifolium,AM,tolerant
Robinia_pseudoacacia,AM,tolerant
Rosa_carolina,AM,tolerant
Rosa_rugosa,AM,tolerant
Rosmarinus_officinalis,AM,tolerant
Rubus_allegheniensis,AM,tolerant
Rubus_idaeus,AM,tolerant
Rubus_spectabilis,AM,tolerant
Saccharum_officinarum,AM,tolerant
Scaevola_taccada,AM,tolerant
Schizachyrium_scoparium,AM,tolerant
Serenoa_repens,AM,tolerant
Sesbania_grandiflora,AM,tolerant
Sesbania_tomentosa,AM,tolerant
Shepherdia_canadensis,AM,tolerant
Sideroxylon_lycioides,AM,tolerant
Simmondsia_chinensis,AM,tolerant
Solidago_missouriensis,AM,tolerant
Sorghum_bicolor,AM,tolerant
Sphaeralcea_coccinea,AM,tolerant
Sporobolus_airoides,AM,tolerant
Sporobolus_compositus,AM,tolerant
Sporobolus_cryptandrus,AM,tolerant
Sporobolus_virginicus,AM,tolerant
Swietenia_macrophylla,AM,tolerant
Symphoricarpos_albus,AM,tolerant
Symphoricarpos_occidentalis,AM,tolerant
Symphoricarpos_oreophilus,AM,tolerant
Tamarindus_indica,AM,tolerant
Tecoma_stans,AM,tolerant
Tetradymia_canescens,AM,tolerant
Thamnosma_montana,AM,tolerant
Thespesia_populnea,AM,tolerant
Tragopogon_dubius,AM,tolerant
Tridens_flavus,AM,tolerant
Ulmus_pumila,AM,tolerant
Uniola_paniculata,AM,tolerant
Viburnum_acerifolium,AM,tolerant
Vicia_americana,AM,tolerant
Vicia_cracca,AM,tolerant
Vitis_aestivalis,AM,tolerant
Vitis_cinerea,AM,tolerant
Wyethia_mollis,AM,tolerant
Yucca_glauca,AM,tolerant
Zoysia_japonica,AM,tolerant
Zoysia_matrella,AM,tolerant
Acer_glabrum,AM,tolerant
Acer_saccharum_subsp._nigrum,AM,tolerant
Acer_platanoides,AM,tolerant
Acer_pseudoplatanus,AM,tolerant
Acer_saccharum,AM,sensitive
Achillea_millefolium,AM,tolerant
Aesculus_glabra,AM,tolerant
Agoseris_aurantiaca,AM,tolerant
Agoseris_grandiflora,AM,tolerant
Agrostis_idahoensis,AM,tolerant
Ailanthus_altissima,AM,tolerant
Albizia_julibrissin,AM,tolerant
Alchornea_latifolia,AM,tolerant
Allium_acuminatum,AM,tolerant
Allium_douglasii,AM,tolerant
Amelanchier_alnifolia,AM,tolerant
Amelanchier_laevis,AM,tolerant
Amelanchier_sanguinea,AM,tolerant
Ammophila_arenaria,AM,tolerant
Ammophila_breviligulata,AM,tolerant
Amorpha_fruticosa,AM,tolerant
Anaphalis_margaritacea,AM,tolerant
Andira_inermis,AM,tolerant
Annona_glabra,AM,tolerant
Annona_muricata,AM,tolerant
Annona_reticulata,AM,tolerant
Antennaria_microphylla,AM,tolerant
Apocynum_cannabinum,AM,tolerant
Aquilegia_formosa,AM,tolerant
Aralia_nudicaulis,AM,tolerant
Araucaria_heterophylla,AM,tolerant
Arnica_mollis,AM,tolerant
Arrhenatherum_elatius,AM,tolerant
Artemisia_furcata,AM,tolerant
Arundinaria_gigantea,AM,tolerant
Aster_alpinus,AM,tolerant
Astragalus_canadensis,AM,tolerant
Avena_fatua,AM,tolerant
Bambusa_vulgaris,AM,tolerant
Berlandiera_lyrata,AM,tolerant
Bothriochloa_ischaemum,AM,tolerant
Bouteloua_curtipendula,AM,tolerant
Briza_maxima,AM,tolerant
Bromus_briziformis,AM,tolerant
Bromus_carinatus,AM,tolerant
Bromus_inermis,AM,tolerant
Callirhoe_involucrata,AM,tolerant
Calocedrus_decurrens,AM,tolerant
Canadanthus_modestus,AM,tolerant
Quadrella_cynophallophora,AM,tolerant
Cynophalla_flexuosa,AM,tolerant
Trilisa_paniculata,AM,tolerant
Catalpa_speciosa,AM,tolerant
Ceanothus_sanguineus,AM,tolerant
Celastrus_orbiculatus,AM,tolerant
