Plant_species,Mycorrhizal_strategy,Drought_adaptation
Quercus_palustris,EEM,sensitive
Quercus_velutina,EEM,sensitive
Alnus_rhombifolia,EEM,sensitive
Larix_decidua,EEM,sensitive
Larix_kaempferi,EEM,sensitive
Pinus_serotina,EEM,sensitive
Pinus_strobus,EEM,sensitive
Quercus_lyrata,EEM,sensitive
Quercus_phellos,EEM,sensitive
Alnus_glutinosa,EEM,tolerant
Larix_lyallii,EEM,tolerant
Picea_glauca,EEM,tolerant
Pinus_albicaulis,EEM,tolerant
Pinus_aristata,EEM,tolerant
Pinus_cembroides,EEM,tolerant
Pinus_edulis,EEM,tolerant
Pinus_flexilis,EEM,tolerant
Pinus_monophylla,EEM,tolerant
Pinus_ponderosa,EEM,tolerant
Pinus_pungens,EEM,tolerant
Pinus_sabiniana,EEM,tolerant
Pinus_virginiana,EEM,tolerant
Quercus_chrysolepis,EEM,tolerant
Quercus_dumosa,EEM,tolerant
Quercus_garryana,EEM,tolerant
Quercus_laevis,EEM,tolerant
Quercus_macrocarpa,EEM,tolerant
Quercus_marilandica,EEM,tolerant
Quercus_muehlenbergii,EEM,tolerant
Quercus_pumila,EEM,tolerant
Quercus_shumardii,EEM,tolerant
Quercus_stellata,EEM,tolerant
Abies_concolor,EEM,tolerant
Alnus_rubra,EEM,tolerant
Betula_alleghaniensis,EEM,tolerant
Betula_lenta,EEM,tolerant
Betula_nana,EEM,tolerant
Betula_populifolia,EEM,tolerant
Corylus_americana,EEM,tolerant
Corylus_cornuta,EEM,tolerant
Picea_abies,EEM,tolerant
Picea_pungens,EEM,tolerant
Picea_rubens,EEM,tolerant
Pinus_echinata,EEM,tolerant
Pinus_jeffreyi,EEM,tolerant
Pinus_lambertiana,EEM,tolerant
Pinus_nigra,EEM,tolerant
Pinus_rigida,EEM,tolerant
Pinus_sylvestris,EEM,tolerant
Quercus_acutissima,EEM,tolerant
Quercus_agrifolia,EEM,tolerant
Quercus_alba,EEM,tolerant
Quercus_coccinea,EEM,tolerant
Quercus_kelloggii,EEM,tolerant
Quercus_lobata,EEM,tolerant
Quercus_rubra,EEM,tolerant
Quercus_virginiana,EEM,tolerant
Pinus_contorta,EEM,tolerant
Quercus_michauxii,EEM,tolerant
Abies_alba,EEM,sensitive
Abies_firma,EEM,tolerant
Abies_homolepis,EEM,tolerant
Abies_mariesii,EEM,sensitive
Abies_nordmanniana,EEM,sensitive
Abies_sibirica,EEM,sensitive
Abies_veitchii,EEM,tolerant
Alnus_formosana,EEM,tolerant
Alnus_hirsuta,EEM,tolerant
Alnus_japonica,EEM,sensitive
Alnus_pendula,EEM,sensitive
Alnus_alnobetula,EEM,sensitive
Betula_ermanii,EEM,sensitive
Betula_humilis,EEM,sensitive
Betula_maximowicziana,EEM,sensitive
Betula_platyphylla,EEM,tolerant
Betula_pubescens,EEM,sensitive
Carpinus_betulus,EEM,tolerant
Carpinus_cordata,EEM,sensitive
Carpinus_laxiflora,EEM,sensitive
Carpinus_tschonoskii,EEM,tolerant
Corylus_avellana,EEM,tolerant
Corylus_colurna,EEM,tolerant
Corylus_heterophylla,EEM,tolerant
Corylus_sieboldiana,EEM,tolerant
Fagus_crenata,EEM,sensitive
Fagus_engleriana,EEM,sensitive
Fagus_longipetiolata,EEM,sensitive
Fagus_lucida,EEM,sensitive
Larix_gmelinii,EEM,sensitive
Larix_sibirica,EEM,sensitive
Picea_glehnii,EEM,tolerant
Picea_jezoensis,EEM,sensitive
Picea_obovata,EEM,sensitive
Picea_omorika,EEM,tolerant
Pinus_attenuata,EEM,tolerant
Pinus_balfouriana,EEM,tolerant
Pinus_bungeana,EEM,tolerant
Pinus_cembra,EEM,tolerant
Pinus_densiflora,EEM,tolerant
Pinus_halepensis,EEM,tolerant
Pinus_koraiensis,EEM,tolerant
Pinus_parviflora,EEM,tolerant
Pinus_sibirica,EEM,tolerant
Pinus_strobiformis,EEM,tolerant
Pinus_thunbergii,EEM,tolerant
Pinus_wallichiana,EEM,tolerant
Quercus_acuta,EEM,tolerant
Quercus_austrina,EEM,tolerant
Quercus_cerris,EEM,tolerant
Quercus_chapmanii,EEM,tolerant
Quercus_dentata,EEM,tolerant
Quercus_emoryi,EEM,tolerant
Quercus_gilva,EEM,tolerant
Quercus_glauca,EEM,tolerant
Quercus_incana,EEM,tolerant
Quercus_multinervis,EEM,tolerant
Quercus_myrtifolia,EEM,tolerant
Quercus_salicina,EEM,tolerant
Quercus_sessilifolia,EEM,tolerant
Quercus_turbinella,EEM,tolerant
Quercus_variabilis,EEM,tolerant
Quercus_wislizeni,EEM,tolerant
Arctostaphylos_pungens,EEM,tolerant
Chimaphila_umbellata,EEM,tolerant
Chamaedaphne_calyculata,EEM,sensitive
Vaccinium_corymbosum,EEM,sensitive
Vaccinium_membranaceum,EEM,sensitive
Vaccinium_uliginosum,EEM,sensitive
Phyllodoce_breweri,EEM,sensitive
Vaccinium_parvifolium,EEM,tolerant
Vaccinium_stamineum,EEM,tolerant
Empetrum_nigrum,EEM,tolerant
Vaccinium_arboreum,EEM,tolerant
Vaccinium_ovalifolium,EEM,tolerant
Vaccinium_ovatum,EEM,tolerant
Vaccinium_scoparium,EEM,tolerant
