Plant species,Latitude,Longitude
Zea mays,43.9,20.2
Zea mays,43.9,20.2
Zea mays,43.9,20.2
Zea mays,43.9,20.2
Zea mays,48,-125
Zea mays,48,-125
Zea mays,48,-125
Zea mays,66,100
Zea mays,52.2,5.4
Zea mays,36.067,72.45
Zea mays,36.067,72.45
Zea mays,66,100
Zea mays,48,-125
Zea mays,35.983,71.517
Zea mays,35.983,71.5
Zea mays,35.983,71.45
Zea mays,35.983,71.45
Zea mays,36.183,72.483
Zea mays,36.1,72.4
Zea mays,36.067,72.433
Solanum lycopersicum,52.2,5.4
Zea mays,36.383,72.233
Zea mays,36.317,72.567
Zea mays,63,-91
Zea mays,63,-91
Zea mays,63,-91
Zea mays,63,-91
Zea mays,36.633,72.55
Zea mays,36.55,72.467
Zea mays,36.417,72.45
Zea mays,36.417,72.45
Zea mays,63,-91
Zea mays,63,-91
Zea mays,63,-91
Zea mays,36.05,72.467
Zea mays,36.083,72.45
Zea mays,36.067,72.033
Zea mays,36.217,72.167
Zea mays,36.317,72.567
Zea mays,36.333,72.6
Zea mays,36.267,72.517
Zea mays,36.267,72.167
Zea mays,36.117,72.483
Zea mays,48,-125
Zea mays,36.383,72.233
Zea mays,52.2,5.4
Zea mays,35.633,71.717
Zea mays,48,-125
Zea mays,35.933,71.8
Zea mays,34.85,72.217
Zea mays,43.9,20.2
Zea mays,43.9,20.2
Lolium perenne,52.2,5.4
Lolium perenne,52.2,5.4
Zea mays,36.317,72.2
Zea mays,36.317,72.217
Zea mays,34.5,72.517
Lolium perenne,52.2,5.4
Lolium perenne,52.2,5.4
Zea mays,34.567,72.45
Lolium perenne,52.2,5.4
Lolium perenne,52.2,5.4
Solanum lycopersicum,42.7,25.5
Solanum lycopersicum,40.1,45
Solanum lycopersicum,51.9,19.1
Solanum lycopersicum,48,-125
Solanum lycopersicum,-29.2,25.6
Lolium perenne,52.2,5.4
Solanum lycopersicum,47.2,19.5
Lolium perenne,52.2,5.4
Lolium perenne,52.2,5.4
Lolium perenne,52.2,5.4
Solanum lycopersicum,-29.2,25.6
Lolium perenne,52.2,5.4
Lolium perenne,52.2,5.4
Solanum lycopersicum,45.3,39.6
Solanum lycopersicum,62,109
Solanum lycopersicum,63,-91
Solanum lycopersicum,15.8,-90.2
Solanum lycopersicum,47.2,19.5
Lolium perenne,52.2,5.4
Solanum lycopersicum,49.8,19.5
Solanum lycopersicum,62,109
Lolium perenne,52.2,5.4
Solanum lycopersicum,60.1,31.5
Lolium perenne,52.2,5.4
Solanum lycopersicum,63,-91
Solanum lycopersicum,48.117,20.867
Lolium perenne,52.2,5.4
Solanum lycopersicum,49.5,44.2
Lolium perenne,52.2,5.4
Solanum lycopersicum,62,109
Lolium perenne,52.2,5.4
Lolium perenne,52.2,5.4
Solanum lycopersicum,62,109
Lolium perenne,52.2,5.4
Solanum lycopersicum,62,109
Solanum lycopersicum,55.4,-3.4
Lolium perenne,52.2,5.4
Solanum lycopersicum,47.2,19.5
Solanum lycopersicum,42.7,25.5
Solanum lycopersicum,42.7,25.5
Solanum lycopersicum,62,109
Solanum lycopersicum,48,-125
Solanum lycopersicum,48,-125
Solanum lycopersicum,48,-125
Solanum lycopersicum,35,134
Solanum lycopersicum,47.2,19.5
Solanum lycopersicum,-6.767,-79.85
Solanum lycopersicum,52.2,5.4
Solanum lycopersicum,56.9,24.6
Solanum lycopersicum,55.4,-3.4
Solanum lycopersicum,52.2,5.4
Solanum lycopersicum,66,100
Solanum lycopersicum,48,-125
Zea mays,40.3,-7.35
Zea mays,40.25,-7.517
Zea mays,41.583,-6.333
Zea mays,40.5,-8
Zea mays,40.5,-8
Zea mays,40.5,-8
Zea mays,63,-91
Zea mays,63,-91
Zea mays,66,100
Zea mays,66,100
Zea mays,66,100
Zea mays,66,100
Zea mays,66,100
Zea mays,66,100
Zea mays,66,100
Zea mays,66,100
Zea mays,66,100
Zea mays,35,134
Zea mays,48,-125
Zea mays,-10,-75
Zea mays,63,-91
Zea mays,30.4,69.4
Zea mays,30.4,69.4
Zea mays,30.4,69.4
Zea mays,30.4,69.4
Zea mays,30.4,69.4
Zea mays,34.667,72.083
Zea mays,30.4,69.4
Zea mays,19.3,-99.5
Zea mays,24,-103
Zea mays,45.7,2.9
Zea mays,38.017,-7.867
Zea mays,24,-103
Zea mays,24,-103
Zea mays,19.3,-99.5
Zea mays,24,-103
Zea mays,19.3,-99.5
Zea mays,19.3,-99.5
Zea mays,24,-103
